"pops","distance","countsum","orte","norm"
646429.875,445.9674427,100,"Zürich, Schweiz",0.000154695820641025
654967.125,17.67745719425,5206,"Moers , Nordrhein-Westfalen<br>Krefeld , Nordrhein-Westfalen<br>Willich , Nordrhein-Westfalen<br>Meerbusch , Nordrhein-Westfalen",0.00794849054446817
655809.6875,556.0095022,173,"Prag, Tschechische Republik",0.000263796042201649
661481.125,25.9378812925,4729,"Wermelskirchen , Nordrhein-Westfalen<br>Remscheid , Nordrhein-Westfalen<br>Solingen , Nordrhein-Westfalen<br>Haan , Nordrhein-Westfalen",0.00714910799608984
681176.1875,1984.187997,440,"Athen, Griechenland",0.000645941546510682
727941.875,3063.636778,241,"Tiflis, Georgien",0.000331070389376899
728622.875,52.3431373433333,4514,"Haltern am See , Nordrhein-Westfalen<br>Recklinghausen , Nordrhein-Westfalen<br>Marl , Nordrhein-Westfalen<br>Herten , Nordrhein-Westfalen<br>Herne , Nordrhein-Westfalen<br>Gelsenkirchen , Nordrhein-Westfalen",0.00619524881098469
729934.125,988.1448101,259,"Warszawa (Warschau), Polen",0.000354826539997702
747974.875,9301.531908,212,"Aichi, Japan",0.00028343198025201
775955.875,3582.066781,145,"Tscheljabinsk, Russische Föderation",0.000186866295715591
776468.3125,176.14453765,1733,"Frankfurt am Main, Hessen<br>Bad Homburg von der Höhe, Hessen",0.00223190048080681
785514.375,1543.4853,220,"Palermo, Italien",0.000280071259039658
793046.1875,1824.797898,381,"Odessa, Ukraine",0.000480425990321024
801724.6875,1623.064955,265,"Tunis, Tunesien",0.00033053740783054
816399.375,15.1615306586667,11618,"Leverkusen , Nordrhein-Westfalen<br>Langenfeld (Rheinland), Nordrhein-Westfalen<br>Dormagen , Nordrhein-Westfalen<br>Hilden , Nordrhein-Westfalen<br>Mettmann , Nordrhein-Westfalen<br>Erkrath, Nordrhein-Westfalen",0.0142307801252298
835195.6875,857.6138026,1300,"Chorzów (Königshütte), Polen<br>Bytom (Beuthen), Polen<br>Tarnowskie Góry (Tarnowitz), Polen<br>Zabrze (Hindenburg), Polen",0.0015565214469573
862181.8125,3623.60071,352,"Bagdad, Irak",0.000408266556887037
862597.375,1709.936676,547,"Thessaloniki, Griechenland",0.000634131306045303
874842.8125,985.1057171,325,"Budapest, Ungarn",0.000371495307907099
907511.1875,8874.322697,379,"Shanghai, China",0.000417625705578423
925462.375,3009.602849,190,"Beirut, Libanon",0.000205302781758145
944338,180.943119,148,"Amsterdam, Niederlande",0.000156723546018481
950298.1875,30.2073464133333,13333,"Bochum , Nordrhein-Westfalen<br>Hattingen , Nordrhein-Westfalen<br>Essen , Nordrhein-Westfalen<br>Wuppertal , Nordrhein-Westfalen<br>Velbert , Nordrhein-Westfalen<br>Wülfrath , Nordrhein-Westfalen",0.0140303329790366
977754.1875,768.1529877,433,"Wien, Österreich",0.000442851593514653
991566.625,1863.420233,115,"Lissabon, Portugal",0.000115978086696897
999876.1875,489.411443,1673,"München, Bayern",0.00167320716396199
1002010,1122.673194,173,"Rom, Italien",0.000172652967535254
1003530,21.79582984975,15233,"Oberhausen , Nordrhein-Westfalen<br>Mülheim an der Ruhr , Nordrhein-Westfalen<br>Duisburg , Nordrhein-Westfalen<br>Ratingen , Nordrhein-Westfalen",0.015179416659193
